,0
-733,3
-368,3
-590,3
-595,3
890,3
946,3
959,3
1067,3
797,3
638,3
-981,3
798,3
-1106,3
799,3
579,3
-1156,3
980,3
759,3
639,3
-643,3
-781,3
-944,3
592,3
-725,3
-510,3
746,3
646,3
-1110,3
745,3
-1304,3
426,3
658,3
559,3
-778,3
1170,3
513,3
1297,3
785,3
-599,3
-766,3
-729,3
-1161,3
1459,3
-745,3
599,3
591,3
648,3
1027,3
640,3
-746,3
-579,3
-788,3
-946,3
789,3
-560,3
576,3
747,3
684,3
-605,3
-664,3
1357,3
-630,3
-831,3
-861,3
-568,3
492,3
-1177,3
703,3
568,3
-1045,3
-1129,3
849,3
919,3
537,3
-666,3
700,3
478,3
851,3
-1044,3
845,3
-820,3
-829,3
1648,3
613,3
497,3
714,3
-923,3
2544,3
-1081,3
-698,3
-966,3
838,3
973,3
-922,3
673,3
-863,3
873,3
494,3
-663,3
869,3
699,3
-969,3
-684,3
-678,3
-538,3
546,3
859,3
-670,3
-566,3
-855,3
-540,3
-848,3
623,3
-675,3
-849,3
-671,3
-624,3
-850,3
482,3
863,3
-845,3
-2961,3
-953,3
-1194,3
853,3
1365,3
-839,3
678,3
489,3
1207,3
-682,3
621,3
857,3
-842,3
603,3
911,3
-856,3
-843,3
693,3
-2155,3
530,3
779,3
928,3
-661,3
-703,3
825,3
-607,3
632,3
-1061,3
-452,3
-1048563,3
-1733,3
988,3
-706,3
666,3
-818,3
830,3
572,3
-701,3
828,3
-562,3
-707,3
966,2
897,2
-747,2
-1049,2
1368,2
-669,2
882,2
-640,2
-1048703,2
-683,2
1048557,2
-667,2
788,2
-719,2
-588,2
819,2
948,2
-1100,2
-1229,2
1299,2
-1048587,2
-1193,2
-2705,2
-1220,2
-1069,2
817,2
-1057,2
1022,2
1940,2
-1692,2
818,2
-629,2
-1195,2
-1153,2
-1678,2
1380,2
894,2
-749,2
1302,2
-1258,2
910,2
-1569,2
-1573,2
463,2
-2166,2
810,2
1369,2
-674,2
-1679,2
1423,2
-1167,2
-1142,2
906,2
-622,2
-565,2
-1183,2
-655,2
-1779,2
-1118,2
-1048629,2
-753,2
-755,2
823,2
1292,2
-1186,2
-543,2
780,2
993,2
-673,2
1334,2
-550,2
-1136,2
-1035,2
1441,2
-2286,2
915,2
-2050,2
-1148,2
-534,2
900,2
-1774,2
1298,2
-1223,2
949,2
-580,2
-657,2
858,2
-1070,2
951,2
1013,2
-586,2
898,2
1296,2
974,2
-677,2
-1048467,2
784,2
-752,2
-712,2
-585,2
-1133,2
-1085,2
1995,2
804,2
-1209,2
1485,2
-660,2
-1028,2
-731,2
960,2
939,2
-1208,2
-1041,2
1048748,2
-1048573,2
-695,2
877,2
-724,2
-2229,2
-1048520,2
1434,2
843,2
-1122,2
1355,2
-1065,2
962,2
3363,2
802,2
-697,2
-1048611,2
806,2
874,2
-569,2
-1163,2
1321,2
1397,2
-1140,2
-1123,2
-700,2
1348,2
-1039,2
464,2
-527,2
-598,2
-1048541,2
-728,2
938,2
1521,2
875,2
-1048581,2
-699,2
-1686,2
-702,2
983,2
-1040,2
1452,2
-1172,2
844,2
848,2
1326,2
-1141,2
-1251,2
-687,2
-1072,2
499,2
-1037,2
1488,2
-665,2
-593,2
-1048610,2
-1178,2
-685,2
829,2
1002,2
-2734,2
883,2
-617,2
893,2
-742,2
1859,2
1457,2
-556,2
-577,2
-1539,2
-1139,2
942,2
-734,2
-1048542,2
-691,2
-601,2
1478,2
-1067,2
1313,2
1017,2
-1247,2
941,2
-647,2
-735,2
-690,2
889,2
-1671,2
846,2
-1038,2
-704,2
-1158,2
-1027,2
-722,2
927,2
-1128,2
1846,2
1535,2
-964,2
1108,2
-993,2
664,2
1119,2
-2466,2
665,2
-1982,2
1178,2
737,2
547,2
1179,2
2085,2
-801,2
670,2
-866,2
1182,2
-803,2
-1316,2
671,2
-865,2
672,2
1754,2
729,2
1063,2
727,2
1238,2
-862,2
1109,2
1187,2
1236,2
-2018,2
-873,2
-794,2
1773,2
-1398,2
651,2
-885,2
-1806,2
1266,2
-782,2
-783,2
-1003,2
-1515,2
-785,2
751,2
535,2
654,2
-1000,2
-1818,2
-881,2
1561,2
-789,2
-1392,2
-997,2
1634,2
-791,2
540,2
-996,2
-1816,2
1255,2
-793,2
-927,2
-982,2
-1494,2
-886,2
-1837,2
1048522,2
2102,2
1098,2
-1993,2
586,2
-825,2
-847,2
710,2
-952,2
-1340,2
1083,2
708,2
1219,2
691,2
707,2
1606,2
-963,2
-1855,2
-3392,2
1086,2
694,2
-955,2
1087,2
1092,2
-2378,2
-840,2
702,2
-1347,2
-837,2
1199,2
712,2
1099,2
1583,2
-1325,2
676,2
-860,2
1188,2
-1372,2
677,2
722,2
1107,2
-1370,2
1048598,2
-1328,2
-816,2
720,2
-976,2
-824,2
1193,2
-1457,2
-2355,2
1227,2
-852,2
715,2
-1460,2
-973,2
1587,2
-2388,2
-851,2
1197,2
-1336,2
-1004,2
-836,2
641,2
-1276,2
619,2
1136,2
-1273,2
647,2
766,2
618,2
776,2
1139,2
1032,2
1671,2
1135,2
2061,2
-1272,2
-1406,2
1550,2
765,2
1040,2
1285,2
-900,2
-1523,2
-773,2
1275,2
-1412,2
-764,2
625,2
-917,2
526,2
1131,2
-891,2
-1924,2
-1284,2
-1019,2
1800,2
1048560,2
-907,2
-2293,2
1268,2
1134,2
1151,2
1673,2
757,2
-1527,2
-914,2
-512,2
1544,2
-1281,2
-919,2
-895,2
1143,2
1553,2
1048613,2
1154,2
-915,2
777,2
5712,1
1936,1
2485,1
1048684,1
1048499,1
3664,1
-2130,1
3661,1
-1048141,1
1646,1
-1424,1
1048656,1
-947,1
-1612,1
-4016,1
1617,1
1048498,1
-1048655,1
-1047473,1
1424,1
2484,1
3149,1
-1048657,1
-1104,1
-2160,1
-1971,1
-5011,1
1102,1
-1615,1
-2477,1
-2480,1
19352,1
1048495,1
-1135,1
-1456,1
1104,1
1048590,1
-2639,1
-1102,1
624,1
-913,1
1458,1
5234,1
-1617,1
1103,1
-3151,1
-6740,1
-1970,1
-1103,1
947,1
1048599,1
-1105,1
-1098,1
-948,1
-1093,1
-5186,1
-7233,1
-6721,1
-3004,1
1093,1
-1605,1
1467,1
-954,1
-1466,1
1094,1
1140,1
4537,1
-1048645,1
-626,1
1466,1
-3141,1
1468,1
1141,1
2628,1
-956,1
3191,1
6208,1
-1048641,1
1470,1
1048535,1
1091,1
-2625,1
2117,1
-4538,1
1981,1
-906,1
1048130,1
-1091,1
23478,1
909,1
954,1
-1048646,1
-2995,1
-1048495,1
-910,1
-1935,1
-5048,1
-3698,1
1048501,1
-949,1
1935,1
1137,1
1977,1
-911,1
-2448,1
-1048177,1
-1461,1
588,1
-1611,1
-1099,1
-4536,1
-2674,1
1463,1
627,1
3000,1
-2955,1
-3185,1
-4025,1
8077,1
583,1
1048128,1
2446,1
-1465,1
1048504,1
952,1
-951,1
20914,1
1097,1
-1609,1
-3473,1
-920,1
-3665,1
-2965,1
-2144,1
27247,1
1122,1
1642,1
3489,1
1130,1
-1120,1
611,1
-1441,1
-925,1
1048330,1
-2974,1
-7072,1
2457,1
1123,1
-3486,1
-6559,1
-2461,1
1633,1
-6552,1
3178,1
918,1
1955,1
-1629,1
1443,1
-1953,1
-928,1
1120,1
-1440,1
-1630,1
1048479,1
930,1
-2154,1
-5021,1
1121,1
2462,1
1635,1
1048550,1
1126,1
-4709,1
1638,1
923,1
-613,1
2662,1
2458,1
-5221,1
1433,1
-1433,1
1946,1
-1945,1
-3479,1
1128,1
-2661,1
-1126,1
-2968,1
-2969,1
-1949,1
-1947,1
-610,1
-2971,1
-924,1
1437,1
920,1
-1948,1
925,1
-611,1
-2460,1
-2453,1
1944,1
1125,1
3997,1
18017,1
924,1
1631,1
-1429,1
-3502,1
1113,1
-1621,1
-3498,1
2137,1
600,1
916,1
1112,1
-935,1
27545,1
932,1
-1447,1
1048769,1
-3179,1
-934,1
-1132,1
1428,1
-8274,1
1644,1
6057,1
1111,1
-1450,1
1048492,1
2671,1
-2449,1
2645,1
-1939,1
5206,1
-1048494,1
-1619,1
922,1
-1964,1
2132,1
-939,1
-2988,1
-1108,1
1110,1
4008,1
28580,1
-3160,1
1115,1
-916,1
1446,1
2669,1
-1114,1
-1444,1
917,1
-931,1
-1048486,1
-1627,1
1445,1
-1443,1
1048596,1
-2465,1
-1048470,1
-1116,1
-932,1
-1047132,1
-3691,1
-4699,1
937,1
1114,1
1048480,1
-1428,1
-1446,1
1626,1
1448,1
936,1
1048485,1
3181,1
-4519,1
2650,1
-6229,1
-1113,1
935,1
1116,1
-1269,1
1090,1
-2068,1
-1048557,1
1047,1
-2025,1
1048551,1
27156,1
-2582,1
-999,1
1049,1
-1048555,1
-1046,1
-3093,1
-2023,1
2587,1
-2581,1
-998,1
27111,1
-1048598,1
2025,1
5099,1
-1001,1
1046,1
-1510,1
1005,1
-2542,1
-2064,1
-4591,1
-1005,1
1008,1
1048556,1
-1048592,1
-1553,1
1044,1
-2028,1
27160,1
-2066,1
29211,1
-1048559,1
-1554,1
-1042,1
1006,1
534,1
-1002,1
1050,1
-1048599,1
-1518,1
-1048548,1
1054,1
-1048547,1
1506,1
-1054,1
1567,1
-992,1
-1048606,1
-1048546,1
-1055,1
-2016,1
-2528,1
545,1
1048542,1
-1048545,1
-1568,1
1504,1
-990,1
-1502,1
-1048608,1
995,1
-2075,1
-6632,1
-994,1
-4070,1
21014,1
999,1
1564,1
2022,1
-1050,1
998,1
1048612,1
-2585,1
-995,1
-1507,1
997,1
1565,1
-4068,1
-2529,1
-1048549,1
996,1
-4580,1
542,1
-2030,1
1009,1
1503,1
1048569,1
-4603,1
1020,1
1047405,1
-1017,1
-5115,1
1031,1
-2051,1
-1048572,1
1531,1
-1029,1
-2041,1
-1016,1
2030,1
-1542,1
-1030,1
3067,1
-518,1
-3575,1
1047237,1
-3587,1
-1048579,1
-1031,1
3079,1
1023,1
-1024,1
1025,1
2563,1
1048573,1
-1048575,1
1534,1
-1026,1
1539,1
27635,1
-1020,1
1028,1
27657,1
-1048574,1
1533,1
-1531,1
1021,1
-2564,1
-6137,1
-3080,1
-1015,1
1042,1
-8178,1
27128,1
-1010,1
1038,1
1524,1
-1036,1
-2571,1
37405,1
1048543,1
-1009,1
-3058,1
1039,1
-1048589,1
-1550,1
2577,1
1010,1
-1007,1
1041,1
-1048562,1
-1006,1
-2545,1
-1547,1
1048566,1
-1011,1
-1048583,1
2040,1
-1544,1
-2549,1
-1014,1
-1013,1
1048597,1
1547,1
36838,1
1527,1
-5131,1
-1012,1
1036,1
-6156,1
-1524,1
-1048567,1
1526,1
-1034,1
-4083,1
1570,1
991,1
5565,1
971,1
1048523,1
-971,1
-2102,1
-1483,1
1048665,1
-970,1
-1591,1
969,1
23100,1
-1481,1
-3639,1
1480,1
968,1
-968,1
1080,1
1048518,1
2107,1
-1593,1
9790,1
-2614,1
-1048524,1
1048517,1
-2099,1
-2095,1
561,1
16953,1
1073,1
-1048527,1
-1586,1
-1074,1
-1487,1
1585,1
-1999,1
-1048626,1
-974,1
-1075,1
1074,1
1048525,1
-1076,1
1048524,1
2613,1
1588,1
967,1
455,1
1584,1
-2498,1
-3645,1
3134,1
-1473,1
-1048638,1
-2109,1
-3136,1
-1087,1
3008,1
1048512,1
-2495,1
-2112,1
-960,1
-4157,1
-2496,1
-6077,1
-2623,1
1048510,1
-958,1
-1601,1
575,1
-1986,1
2109,1
963,1
-1082,1
-1652,1
1596,1
2503,1
-4035,1
2108,1
-1048518,1
1477,1
965,1
-2500,1
2500,1
-2108,1
1085,1
964,1
1597,1
-4036,1
-3646,1
-1597,1
-1474,1
-4047,1
976,1
-989,1
1048629,1
-3033,1
-986,1
1062,1
-1048613,1
2010,1
-3109,1
27607,1
-1048103,1
2523,1
551,1
-985,1
985,1
-2009,1
2520,1
2089,1
-4566,1
-984,1
-1496,1
-2008,1
1499,1
-4572,1
-4565,1
-1048540,1
-1501,1
-1048609,1
-1570,1
1502,1
-1058,1
990,1
-2593,1
